Metric     | Precision |    Recall |  F1 Score | AligndAcc
-----------+-----------+-----------+-----------+-----------
Tokens     |    100.00 |    100.00 |    100.00 |
Sentences  |    100.00 |    100.00 |    100.00 |
Words      |    100.00 |    100.00 |    100.00 |
UPOS       |    100.00 |    100.00 |    100.00 |    100.00
XPOS       |    100.00 |    100.00 |    100.00 |    100.00
UFeats     |    100.00 |    100.00 |    100.00 |    100.00
AllTags    |    100.00 |    100.00 |    100.00 |    100.00
Lemmas     |    100.00 |    100.00 |    100.00 |    100.00
UAS        |     99.83 |     99.83 |     99.83 |     99.83
LAS        |     99.76 |     99.76 |     99.76 |     99.76
CLAS       |     99.70 |     99.70 |     99.70 |     99.70
MLAS       |     99.68 |     99.68 |     99.68 |     99.68
BLEX       |     99.70 |     99.70 |     99.70 |     99.70
